path,class_name,label,split,width,height,aspect_ratio,file_size_bytes
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00053.jpg,Achaemenid architecture,0,train,1000,668,1.497,238534
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00271.jpg,Achaemenid architecture,0,train,1000,669,1.4948,138885
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00169.jpg,Achaemenid architecture,0,train,1000,657,1.5221,170345
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00251.jpg,Achaemenid architecture,0,train,500,341,1.4663,44164
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00077.jpg,Achaemenid architecture,0,train,1000,750,1.3333,86481
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00009.jpg,Achaemenid architecture,0,train,1000,668,1.497,143434
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00068.jpg,Achaemenid architecture,0,train,800,188,4.2553,44338
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00198.jpg,Achaemenid architecture,0,train,1000,666,1.5015,157656
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00002.jpg,Achaemenid architecture,0,train,610,413,1.477,31651
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00367.jpg,Achaemenid architecture,0,train,800,600,1.3333,127497
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00372.jpg,Achaemenid architecture,0,train,397,599,0.6628,56871
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00259.jpg,Achaemenid architecture,0,train,500,336,1.4881,31918
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00253.jpg,Achaemenid architecture,0,train,1000,750,1.3333,90800
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00244.jpg,Achaemenid architecture,0,train,404,270,1.4963,13474
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00209.jpg,Achaemenid architecture,0,train,1000,666,1.5015,150004
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00055.jpg,Achaemenid architecture,0,train,1000,668,1.497,161493
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00034.jpg,Achaemenid architecture,0,train,623,1000,0.623,144834
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00354.jpg,Achaemenid architecture,0,train,384,600,0.64,45945
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00280.jpg,Achaemenid architecture,0,train,1000,656,1.5244,132704
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00059.jpg,Achaemenid architecture,0,train,500,334,1.497,29789
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00243.jpg,Achaemenid architecture,0,train,617,1000,0.617,87731
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00386.jpg,Achaemenid architecture,0,train,800,600,1.3333,115722
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00289.jpg,Achaemenid architecture,0,train,469,313,1.4984,27948
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00230.jpg,Achaemenid architecture,0,train,500,500,1.0,44323
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00380.jpg,Achaemenid architecture,0,train,661,599,1.1035,103868
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00029.jpg,Achaemenid architecture,0,train,684,1000,0.684,157752
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00331.jpg,Achaemenid architecture,0,train,800,520,1.5385,88690
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00240.jpg,Achaemenid architecture,0,train,800,557,1.4363,83198
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00097.jpg,Achaemenid architecture,0,train,400,591,0.6768,77298
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00322.jpg,Achaemenid architecture,0,train,321,470,0.683,26083
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00143.jpg,Achaemenid architecture,0,train,720,452,1.5929,76913
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00175.jpg,Achaemenid architecture,0,train,850,400,2.125,60746
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00066.jpg,Achaemenid architecture,0,train,500,341,1.4663,27649
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00351.jpg,Achaemenid architecture,0,train,800,600,1.3333,90712
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00045.jpg,Achaemenid architecture,0,train,550,413,1.3317,31290
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00227.jpg,Achaemenid architecture,0,train,450,321,1.4019,23252
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00144.jpg,Achaemenid architecture,0,train,602,319,1.8871,37488
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00213.jpg,Achaemenid architecture,0,train,594,396,1.5,64056
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00075.jpg,Achaemenid architecture,0,train,473,215,2.2,36088
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00374.jpg,Achaemenid architecture,0,train,449,599,0.7496,61771
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00335.jpg,Achaemenid architecture,0,train,600,387,1.5504,35250
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00088.jpg,Achaemenid architecture,0,train,850,567,1.4991,142732
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00385.jpg,Achaemenid architecture,0,train,800,600,1.3333,73602
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00026.jpg,Achaemenid architecture,0,train,703,1000,0.703,103154
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00072.jpg,Achaemenid architecture,0,train,1000,563,1.7762,110914
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00180.jpg,Achaemenid architecture,0,train,400,250,1.6,19764
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00031.jpg,Achaemenid architecture,0,train,1000,735,1.3605,165095
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00326.jpg,Achaemenid architecture,0,train,800,600,1.3333,119812
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00130.jpg,Achaemenid architecture,0,train,449,584,0.7688,43711
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00127.jpg,Achaemenid architecture,0,train,600,600,1.0,35803
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00123.jpg,Achaemenid architecture,0,train,1000,723,1.3831,173674
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00248.jpg,Achaemenid architecture,0,train,1000,750,1.3333,114351
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00333.jpg,Achaemenid architecture,0,train,800,600,1.3333,73458
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00010.jpg,Achaemenid architecture,0,train,600,338,1.7751,39986
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00065.jpg,Achaemenid architecture,0,train,375,250,1.5,31541
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00345.jpg,Achaemenid architecture,0,train,400,600,0.6667,64969
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00349.jpg,Achaemenid architecture,0,train,800,600,1.3333,159511
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00284.jpg,Achaemenid architecture,0,train,414,612,0.6765,55445
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00064.jpg,Achaemenid architecture,0,train,310,207,1.4976,11719
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00162.jpg,Achaemenid architecture,0,train,713,378,1.8862,49007
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00085.jpg,Achaemenid architecture,0,train,800,557,1.4363,84409
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00154.jpg,Achaemenid architecture,0,train,668,1000,0.668,178867
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00120.jpg,Achaemenid architecture,0,train,600,420,1.4286,48321
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00330.jpg,Achaemenid architecture,0,train,800,533,1.5009,92204
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00225.jpg,Achaemenid architecture,0,train,750,500,1.5,76067
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00220.jpg,Achaemenid architecture,0,train,750,500,1.5,58310
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00074.jpg,Achaemenid architecture,0,train,801,487,1.6448,49359
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00106.jpg,Achaemenid architecture,0,train,440,330,1.3333,24553
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00203.jpg,Achaemenid architecture,0,train,1000,562,1.7794,73245
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00037.jpg,Achaemenid architecture,0,train,910,886,1.0271,115286
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00211.jpg,Achaemenid architecture,0,train,1000,645,1.5504,92810
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00268.jpg,Achaemenid architecture,0,train,500,738,0.6775,95381
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00231.jpg,Achaemenid architecture,0,train,1000,615,1.626,60565
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00336.jpg,Achaemenid architecture,0,train,800,600,1.3333,85407
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00167.jpg,Achaemenid architecture,0,train,1000,563,1.7762,94826
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00165.jpg,Achaemenid architecture,0,train,650,1000,0.65,104158
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00093.jpg,Achaemenid architecture,0,train,880,660,1.3333,106246
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00089.jpg,Achaemenid architecture,0,train,663,1000,0.663,175881
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00356.jpg,Achaemenid architecture,0,train,450,600,0.75,57291
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00318.jpg,Achaemenid architecture,0,train,450,320,1.4062,29830
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00170.jpg,Achaemenid architecture,0,train,666,1000,0.666,106522
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00100.jpg,Achaemenid architecture,0,train,850,659,1.2898,151507
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00159.jpg,Achaemenid architecture,0,train,1000,669,1.4948,55187
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00373.jpg,Achaemenid architecture,0,train,800,600,1.3333,139037
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00293.jpg,Achaemenid architecture,0,train,1000,673,1.4859,88938
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00226.jpg,Achaemenid architecture,0,train,1000,666,1.5015,119619
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00188.jpg,Achaemenid architecture,0,train,270,400,0.675,25610
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00007.jpg,Achaemenid architecture,0,train,600,600,1.0,70333
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00241.jpg,Achaemenid architecture,0,train,440,594,0.7407,41755
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00139.jpg,Achaemenid architecture,0,train,500,317,1.5773,38327
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00221.jpg,Achaemenid architecture,0,train,480,380,1.2632,42374
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00294.jpg,Achaemenid architecture,0,train,600,400,1.5,49882
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00355.jpg,Achaemenid architecture,0,train,450,600,0.75,62002
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00218.jpg,Achaemenid architecture,0,train,450,321,1.4019,20330
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00283.jpg,Achaemenid architecture,0,train,481,700,0.6871,92520
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00133.jpg,Achaemenid architecture,0,train,600,400,1.5,38072
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00096.jpg,Achaemenid architecture,0,train,1000,739,1.3532,172195
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00011.jpg,Achaemenid architecture,0,train,216,207,1.0435,10476
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00264.jpg,Achaemenid architecture,0,train,600,400,1.5,26765
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00320.jpg,Achaemenid architecture,0,train,450,320,1.4062,30793
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00069.jpg,Achaemenid architecture,0,train,800,533,1.5009,80145
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00313.jpg,Achaemenid architecture,0,train,300,470,0.6383,21758
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00006.jpg,Achaemenid architecture,0,train,725,400,1.8125,57663
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00397.jpg,Achaemenid architecture,0,train,1080,1561,0.6919,435870
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00281.jpg,Achaemenid architecture,0,train,298,450,0.6622,19386
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00109.jpg,Achaemenid architecture,0,train,610,335,1.8209,40441
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00149.jpg,Achaemenid architecture,0,train,660,449,1.4699,44301
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00178.jpg,Achaemenid architecture,0,train,400,209,1.9139,16233
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00113.jpg,Achaemenid architecture,0,train,1000,729,1.3717,131208
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00019.jpg,Achaemenid architecture,0,train,940,590,1.5932,97424
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00250.jpg,Achaemenid architecture,0,train,1000,666,1.5015,174462
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00118.jpg,Achaemenid architecture,0,train,1000,750,1.3333,119467
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00247.jpg,Achaemenid architecture,0,train,666,1000,0.666,87374
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00278.jpg,Achaemenid architecture,0,train,300,263,1.1407,12572
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00157.jpg,Achaemenid architecture,0,train,1000,722,1.385,135456
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00334.jpg,Achaemenid architecture,0,train,725,599,1.2104,66305
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00393.png,Achaemenid architecture,0,train,1000,666,1.5015,872240
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00152.jpg,Achaemenid architecture,0,train,780,520,1.5,40126
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00352.jpg,Achaemenid architecture,0,train,769,599,1.2838,193325
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00184.jpg,Achaemenid architecture,0,train,1000,456,2.193,77678
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00370.jpg,Achaemenid architecture,0,train,800,533,1.5009,93713
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00339.jpg,Achaemenid architecture,0,train,800,600,1.3333,70552
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00103.jpg,Achaemenid architecture,0,train,1000,735,1.3605,161755
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00191.jpg,Achaemenid architecture,0,train,500,725,0.6897,81317
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00025.jpg,Achaemenid architecture,0,train,1000,548,1.8248,97374
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00376.jpg,Achaemenid architecture,0,train,450,600,0.75,53593
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00329.jpg,Achaemenid architecture,0,train,800,600,1.3333,130779
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00105.jpg,Achaemenid architecture,0,train,876,493,1.7769,64661
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00201.jpg,Achaemenid architecture,0,train,1000,525,1.9048,62582
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00090.jpg,Achaemenid architecture,0,train,1000,562,1.7794,77639
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00362.jpg,Achaemenid architecture,0,train,800,519,1.5414,113359
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00151.jpg,Achaemenid architecture,0,train,624,1000,0.624,131690
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00277.jpg,Achaemenid architecture,0,train,612,413,1.4818,53875
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00048.jpg,Achaemenid architecture,0,train,623,1000,0.623,107318
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00104.jpg,Achaemenid architecture,0,train,800,500,1.6,55586
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00156.jpg,Achaemenid architecture,0,train,708,1000,0.708,127344
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00062.jpg,Achaemenid architecture,0,train,1000,729,1.3717,165667
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00207.jpg,Achaemenid architecture,0,train,1000,750,1.3333,111931
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00147.jpg,Achaemenid architecture,0,train,624,1000,0.624,135989
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00146.jpg,Achaemenid architecture,0,train,800,450,1.7778,68651
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00300.jpg,Achaemenid architecture,0,train,1000,523,1.912,102655
